Name,Position,Nationality,School,Height,PPG,FG%,APG,RPG,BPG,Turnovers,Class
Stanley Pringle,Guard,US,Penn State,6'1,,,,,,,
Kevin Alas,Guard,Filipino,Letran,6'0,,,,,,,
Ronald Pascual,"Guard,Forward",Filipino,San Sebastian,6'2,,,,,,,
Matt Ganuelas-Rosser,Guard,Filipino,Cal Poly,6'5,,,,,,,
Chris Banchero,Guard,US,Seattle Pacific,6'1,,,,,,,
Rodney Brondial,"Forward,Center",Filipino,Adamson,6'5,,,,,,,
Anthony Semerad,"Forward,Center",Australia,San beda,6'5,,,,,,,
Jake Pascual,"Center,Forward",Filipino,San beda,6'5,,,,,,,
Jericho Cruz,Guard,Filipino,Adamson,6'0,,,,,,,
David Semerad,"Center,Forward",Australia,San beda,6'5,,,,,,,
Manny Pacquaio,Guard,Filipino,NDDU,5'6,,,,,,,
Juami Tiongson,Guard,Filipino,Ateneo,5'10,,,,,,,
Rome Dela Rosa,Forward,Filipino,San beda,6'3,,,,,,,
Kevin Espinosa,"Forward,Guard",Filipino,Mapua,6'3,,,,,,,
Phillip Paredes,"Forward,Center",Filipino,DLSU,6'5,,,,,,,
Junjun Alas,Center,Filipino,Letran,6'3,,,,,,,
Prince Caperal,Center,Filipino,Arellano,6'6,,,,,,,
Phillip Morrison,Guard,US,Asbury,6'0,,,,,,,
John Pinto,Guard,Filipino,Arellano,5'11,,,,,,,
Harold Arboleda,"Forward,Guard",Filipino,Perpetual,6'2,,,,,,,
Mike Gamboa,Guard,Filipino,UP,5'6,,,,,,,
Gab Banal,Forward,Filipino,Mapua,6'3,,,,,,,
Frank Golla,Forward,Filipino,Ateneo,6'4,,,,,,,
Kyle Pascual,"Forward,Center",Filipino,San beda,6'5,,,,,,,
Rene Pacquiao,Forward,Filipino,SWU,6'5,,,,,,,
Brian Heruela,Guard,Filipino,UC,5'10,,,,,,,
Maclean Sabellina,Forward,Filipino,STI,6'5,,,,,,,
Kenneth Ighalo,Forward,Filipino,Mapua,6'2,,,,,,,
Paolo Taha,Guard,Filipino,CSB,6'0,,,,,,,
Juneric Baloria,Guard,Filipino,Perpetual,6'3,,,,,,,
Raul Soyud,Center,Filipino,UP,6'6,,,,,,,
Jeremy Bartolo,Forward,Filipino,Cal State San Bernardino,6'3,,,,,,,
Anthony Gavieres,"Guard,Forward",Filipino,VCU,6'4,,,,,,,
Clark Bautista,Guard,Filipino,UST,5'10,,,,,,,
Ford Ruaya,"Forward,Guard",Filipino,Letran,6'3,,,,,,,
Richard Cole,"Forward,Guard",US,NU,6'3,,,,,,,
Giorgio Umali,"Guard,Forward",Filipino,Seattle Pacific,6'3,,,,,,,
Jonathan Banal,Guard,Filipino,Mapua,5'10,,,,,,,
Michael Acuna,Guard,Filipino,Perpetual,6'2,,,,,,,
Mark Andrei Romero,Guard/Forward,Filipino,CSB,6'3,,,,,,,
Francis Bercede,Guard,Filipino,USC,5'10,,,,,,,
