Name,Position,Nationality,School,Height,PPG,FG%,APG,RPG,BPG,Turnovers,Class
Moala Tautuaa,"Center,PForward",US,Chadron State,6'7,,,,,,,
Troy Rosario,PForward,Filipino,NU,6'6,,,,,,,
Maverick Ahanmisi,"SGuard,PGuard",US,Minnesota,6'2,,,,,,,
Chris Newsome,"SGuard,SForward",US,Ateneo,6'2,,,,,,,
Scottie Thompson,"SGuard,PGuard",Filipino,Perpetual Help,6'1,,,,,,,
Garvo Lanete,SGuard,Filipino,San Beda,6'1,,,,,,,
Baser Amer,PGuard,Filipino,San Beda,6'0,,,,,,,
Norbert Torres,"Center,PForward",Canada,DLSU,6'6,,,,,,,
Arthur Dela Cruz,"PForward,SForward",Filipino,San Beda,6'4,,,,,,,
Glenn Khobuntin,"SForward,PForward",Filipino,NU,6'4,,,,,,,
Kevin Racal,"PForward,SForward",Filipino,Letran,6'3,,,,,,,
Josan Nimes,SForward,Filipino,Mapua,6'3,,,,,,,
Almond Vosotros,"PGuard,SGuard",Filipino,DLSU,5'10,,,,,,,
Bradwyn Guinto,Center,Filipino,SSC-R,6'6,,,,,,,
Don Trollano,"SForward,SGuard",Filipino,Adamson,6'3,,,,,,,
Aljohn Mariano,SForward,Filipino,UST,6'3,,,,,,,
Simon Enciso,PGuard,Filipino,Notre Dame de Namur,5'11,,,,,,,
Marion Magat,Center,Filipino,NU,6'7,,,,,,,
Kris Rosales,SGuard,US,Hope International,6'0,,,,,,,
Jaypee Mendoza,SForward,Filipino,San Beda,6'3,,,,,,,
Michael Miranda,"Center,PForward",Filipino,San Sebastian,6'6,,,,,,,
Abel Gallinguez,PGuard,US,John Brown,5'9,,,,,,,
Jason Mellano,SForward,Filipino,St. Francis of Assisi,6'3,,,,,,,
Leodaniel de Vera,SForward,US,SSC-R,6'4,,,,,,,
Jansen Rios,"SForward,PForward",Filipino,Adamson,6'3,,,,,,,
Roi Sumang,"PGuard,SGuard",Filipino,UE,5'8,,,,,,,
Yutien Andrada,Center,Filipino,DLSU,6'5,,,,,,,
Lee Villamor,"SForward,SGuard",Filipino,NU,6'4,,,,,,,
Joseph Sedurifa,SGuard,Filipino,CEU,6'1,,,,,,,
Mark Cruz,PGuard,Filipino,Letran,5'5,,,,,,,
Michole Sorela,"PForward,Center",Filipino,San Beda,6'5,,,,,,,
Michael Mabulac,PForward,Filipino,JRU,6'4,,,,,,,
Nico Elorde,"PGuard,SGuard",Filipino,Ateneo,5'10,,,,,,,
Keith Agovida,SForward,Filipino,Arellano,6'2,,,,,,,
Michael DiGregorio,"SGuard,SForward",US,McKendree,6'1,,,,,,,
Jerramy King,SGuard,US,Cal State Long Beach,5'10,,,,,,,
Ryan Wetherell,"SGuard,SForward",US,Southern California,6'0,,,,,,,
John Ray Alabanza,PForward,Filipino,UE,6'5,,,,,,,
Samboy De Leon,"SForward,PForward",Filipino,CEU,6'3,,,,,,,
Joshua Cubillio,SGuard,US,Cal State Fullerton,6'4,,,,,,,
Andretti Stevens,"SGuard,PGuard",Filipino,Mapua,5'11,,,,,,,
Robin Rono,SGuard,Filipino,NU,5'11,,,,,,,
Jawhar Purdy,"SGuard,PGuard",US,Cal State Stanislaus,5'8,,,,,,,
Alexander Austria,SGuard,US,San Francisco State,5'11,,,,,,,
Alfred Batino,"Center,PForward",Filipino,CEU,6'5,,,,,,,
Bong Galanza,"SGuard,PGuard",Filipino,UE,6'2,,,,,,,
Emilian Vargas,SGuard,Filipino,St. Claire Caloocan,6'0,,,,,,,
Christian Palma,"SForward,SGuard",Filipino,Arellano,6'4,,,,,,,
Roberto Hainga,"Center,PForward",Filipino,UST,6'7,,,,,,,
Edgar Tanuan Jr.,SForward,Filipino,FEU,6'3,,,,,,,
Alvin Abundo,PGuard,Filipino,CEU,5'8,,,,,,,
Michael Abad,"Center,PForward",Filipino,Mapua,6'4,,,,,,,
Arvin Vitug,PGuard,Filipino,SSC-R,5'10,,,,,,,
Randy Dilay,SGuard,US,Dominican U,6'1,,,,,,,
