Name,Position,Nationality,School,Height,PPG,FG%,APG,RPG,BPG,Turnovers,Class
Christian Standhardinger,"Forward,Center",Germany,Hawaii,6'8,,,,,,,
Kiefer Ravena,Guard,Filipino,Ateneo,6'0,,,,,,,
Raymar Jose,Forward,Filipino,FEU,6'4,,,,,,,
Jason Perkins,Forward,US,DLSU,6'3,,,,,,,
Jeron Teng,"Forward,Guard",Filipino,DLSU,6'2,,,,,,,
Robbie Herndon,Guard,US,San Francisco State,6'3,,,,,,,
Rey Nambatac,Guard,Filipino,Letran,5'11,,,,,,,
Sidney Onwubere,Forward,Filipino,EAC,6'4,,,,,,,
Lervin Flores,Center,Filipino,Arellano,6'5,,,,,,,
Mark Tallo,Guard,Filipino,SWU,5'10,,,,,,,
JonJon Gabriel,Center,Filipino,Colegio de San Lorenzo,6'6,,,,,,,
Jett Manuel,Guard,Filipino,UP,6'2,,,,,,,
John Grospe,Forward,Filipino,JRU,6'4,,,,,,,
Joseph Gabayni,"Forward,Center",Filipino,Lyceum,6'5,,,,,,,
Emil Palma,Guard,Filipino,UE,6'1,,,,,,,
Julian Sargent,"Guard,Forward",US,DLSU,6'3,,,,,,,
Louie Vigil,"Guard,Forward",Filipino,UST,6'3,,,,,,,
Davon Potts,Guard,US,San Beda,6'2,,,,,,,
Jomari Sollano,Forward,Filipino,Letran,6'4,,,,,,,
Gwyne Capacio,Forward,Filipino,Ateneo,6'2,,,,,,,
Jayson Grimaldo,Forward,Filipino,MLQU,6'8,,,,,,,
Monbert Arong,Guard,Filipino,FEU,6'0,,,,,,,
Wilson Baltazar,"Guard,Forward",Filipino,Lyceum,6'3,,,,,,,
Andreas Cahilig,Forward,Sweden,Earist,6'3,,,,,,,
Chris de Chavez,Guard,Filipino,Ateneo,6'3,,,,,,,
Gabriel Dangangon,Guard,Filipino,Perpetual,6'2,,,,,,,
Ebrahim Lopez,Guard,Filipino,UE,6'0,,,,,,,
Roldan Sara,Guard,Filipino,San Beda,5'7,,,,,,,
Zachary Nicholis,Guard,Canda,Arellano,6'2,,,,,,,
Michael Juico,Guard,Filipino,San Sebastian,6'0,,,,,,,
Jebb Bulawan,Forward,Filipino,Lyceum,6'4,,,,,,,
Thomas Torres,Guard,Filipino,DLSU,5'8,,,,,,,
Dave Moralde,Guard,Filipino,UP,6'1,,,,,,,
Jerome Ortega,Guard,Filipino,AMA,5'8,,,,,,,
Elmer Mykiel Cabahug,Forward,Filipino,Ateneo,6'3,,,,,,,
Arvie Bringas,"Forward,Center",Filipino,FEU,6'5,,,,,,,
Felix Apreku,Forward,Israel,Letran,6'3,,,,,,,
Kyle Neypes,Forward,Filipino,NU,6'4,,,,,,,
John Carlo Casino,Guard,Filipino,CEU,5'10,,,,,,,
Gian Abrigo,Guard,Filipino,Adamson,6'1,,,,,,,
Joseph Nalos,Guard,Filipino,Adamson,5'9,,,,,,,
