Name,Position,Nationality,School,Height,PPG,FG%,APG,RPG,BPG,Turnovers,Class
Carl Bryan Cruz,Forward,Filipino,FEU,6'5,,,,,,,
Kevin Ferrer,"Guard,Forward",Filipino,UST,6'5,,,,,,,
Mac Belo,Forward,Filipino,FEU,6'4,,,,,,,
Von Pessumal,Guard,Filipino,Ateneo,6'2,,,,,,,
Russel Escoto,"Forward,Center",Filipino,FEU,6'6,,,,,,,
Ed Daquiaog,Guard,Filipino,UST,6'1,,,,,,,
Alfonzo Gotladera,"Center,Forward",Filipino,Ateneo,6'6,,,,,,,
Matthew Wright,Guard,Canada,St.Bonaventure,6'4,,,,,,,
Mike Tolomia,Guard,Filipino,FEU,5'11,,,,,,,
Arnold Van Opstal,Center,Germany,DLSU,6'5,,,,,,,
Jio Jalalon,Guard,Filipino,Arellano,5'9,,,,,,,
Roger Pogoy,"Guard,Forward",Filipino,FEU,6'2,,,,,,,
Raphael Banal,Guard,Filipino,Hope International,6'2,,,,,,,
Gelo Alolino,Guard,Filipino,NU,6'0,,,,,,,
Jammer Jamito,Forward,Filipino,Saint Claire,6'5,,,,,,,
Joseph Eriobu,Forward,Hong Kong,Mapua,6'4,,,,,,,
Chris Javier,Forward,Filipino,UE,6'5,,,,,,,
Rashawn McCarthy,Guard,US,SUNY Old Westbury,6'1,,,,,,,
Jonathan Grey,"Guard,Forward",Filipino,DLS-Benilde,6'3,,,,,,,
Reden Celda,Guard,Filipino,NU,6'0,,,,,,,
Jericho De Guzman,Center,Filipino,DSL-Benilde,6'11,,,,,,,
Jeoffrey Javillonar,Forward,Filipino,NU,6'3,,,,,,,
Tristan Perez,"Center,Forward",Filipino,NU,6'5,,,,,,,
Al Francis Tamsi,Guard,Filipino,FEU,6'1,,,,,,,
Jessie Saitanan,Center,Filipino,Mapua,6'5,,,,,,,
Jovit Dela Cruz,Guard,Filipino,SSC-R,6'0,,,,,,,
Ryan Arambulo,"Guard,Forward",US,Cal State Fullerton,6'2,,,,,,,
Nico Paolo Javelona,Guard,Filipino,NU,6'0,,,,,,,
Cedrick Ablaza,Forward,Filipino,STI,6'3,,,,,,,
Alejandrino Inigo Jr.,Guard,Filipino,FEU,5'9,,,,,,,
Jan Jamon,Guard,Filipino,EAC,6'2,,,,,,,
Spencer Eman,Center,Filipino,NU,6'7,,,,,,,
Ryusei Koga,Guard,Filipino,San Beda,5'9,,,,,,,
Timothy Habelito,Forward,New Zealand,QUT,6'4,,,,,,,
Paolo Pontejos,Guard,Filipino,JRU,5'9,,,,,,,
Mikee Reyes,Guard,Filipino,UP,5'10,,,,,,,
Levi Hernandez,Guard,Filipino,Arellano,6'1,,,,,,,
